C Mil A,UF,Município,OM,Curso,Entidade,Local,Início,Fim,Carga Horária,Efetivo Inicial,Efetivo Final,Valor hora aula,Valor total
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Assistente Financeiro ,SENAI-São Paulo ,Entidade Parceira,1/4/2022,24/6/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Power BI ,SENAI-São Paulo ,Entidade Parceira,2/4/2022,23/4/2022,20,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Excel Completo ,SENAI-São Paulo ,Entidade Parceira,5/4/2022,24/4/2022,80,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,montagem e Manutenção de Microcomputador ,SENAI-São Paulo ,Entidade Parceira,12/4/2022,1/6/2022,80,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Informática básica ,SENAI-São Paulo ,Entidade Parceira,11/5/2022,10/6/2022,60,3,3,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Auxiliar Administrativo ,SENAI-São Paulo ,Entidade Parceira,28/5/2022,29/10/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Movimentação e Operação de Produtos Perigosos ,SENAT/TAUBATÉ ,Entidade Parceira,3/10/2022,2/11/2021,20,5,5,"17,5",1750
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Manutenção de Cadeiras Odontológicas ,SENAI Vila Leopoldina ,Entidade Parceira,2/5/2022,11/5/2022,56,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Assistente Financeiro ,SENAI-São Paulo ,Entidade Parceira,1/4/2022,24/6/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Power BI ,SENAI-São Paulo ,Entidade Parceira,2/4/2022,23/4/2022,20,1,1,0,0
CMSE,SP,Barueri,22º B Log Amv,"Curso de Motorista Profissional Categoria ""C""",DETRAN /SP,22º B Log Amv,18/5/2022,29/11/2022,50,17,17,"3,76","3196,89"
CMSE,SP,Barueri,22º B Log Amv,"Curso de Motorista Profissional Categoria ""D""",DETRAN /SP,22º B Log Amv,9/6/2022,22/10/2022,50,78,78,"3,76","14668,11"
CMSE,SP,Jundiaí,12º GAC,"Curso de Motorista Profissional Categoria ""C""",DETRAN /SP,12º GAC,18/3/2022,21/11/2022,50,5,5,"12,5",3125
CMSE,SP,Jundiaí,12º GAC,"Curso de Motorista Profissional Categoria ""D""",DETRAN /SP,12º GAC,19/4/2022,17/11/2022,50,25,25,"12,5",15625
CMSE,SP,Praia Grande,2º GAAAe,"Curso de Motorista Profissional Categoria ""C""",DETRAN /SP,2º GAAAe,12/5/2022,08/011/22,50,1,1,"14,58","728,85"
CMSE,SP,Praia Grande,2º GAAAe,"Curso de Motorista Profissional Categoria ""D""",DETRAN /SP,2º GAAAe,18/5/2022,29/11/2022,50,23,23,"14,58","16763,45"
CMSE,SP,Campinas,2º B Log,"Curso de Motorista Profissional Categoria ""D""",DETRAN /SP,2º B Log,17/2/2022,30/6/2022,50,30,30,"8,5",12755
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Excel Completo ,SENAI-São Paulo ,Entidade Parceira,5/4/2022,24/5/2022,80,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Eletricista de Refrigeração e Climati ,SENAI Ipiranga - SP ,Entidade Parceira,7/5/2022,21/5/2022,24,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Marcenaria sob Medida - Dormitório ,SENAI Roberto Simonsem - SP ,Entidade Parceira,3/6/2022,7/7/2022,48,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Assistente Financeiro ,SENAI Ary Torres - SP ,Entidade Parceira,6/6/2022,16/9/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Power BI ,SENAI Santa Cecília - SP ,Entidade Parceira,7/6/2022,30/7/2022,20,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Mecânico Suspenção Dir Freio veículos Leves ,SENAI Ipiranga - SP ,Entidade Parceira,1/6/2022,31/8/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Eletricista Instalador Residencial ,SENAI Aclimação - SP ,Entidade Parceira,13/6/2022,5/8/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Instalador Sistema Votovoltaicas ,SENAI Aclimação - SP ,Entidade Parceira,13/6/2022,5/8/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Aprendizagem Industrial ,SENAI Ipiranga - SP ,Entidade Parceira,1/7/2022,31/12/2022,20,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Funileiro Automotivo ,SENAI Ipiranga - SP ,Entidade Parceira,2/8/2022,25/10/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Seguraça nas atividades com trabalhosem altur ,SENAI Roberto Simonsem - SP ,Entidade Parceira,13/8/2022,20/8/2022,24,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Auxiliar Administrativo ,SENAI Roberto Simonsem - SP ,Própria OM,10/8/2022,15/12/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Manutenção de Equipamentos Odontológicos ,SENAI Vila Leopoldina ,Entidade Parceira,3/10/2022,31/8/2022,56,12,12,"20,84","14004,48"
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Auto cad 2d ,SENAI Roberto Simonsem - SP ,Entidade Parceira,25/4/2022,12/5/2022,48,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Eletricista Instalador Residencial ,SENAI-José EPhim Mindin - SP ,Entidade Parceira,3/5/2022,11/11/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Excel Básico ,SENAI-José EPhim Mindin - SP ,Entidade Parceira,6/5/2022,1/6/2022,40,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Mecânico Auxiliar Automotivo ,SENAI Luis Eulalio de Bueno Vidgal Filho - SP ,Entidade Parceira,10/5/2022,11/8/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Comandos Elétricos ,SENAI-José EPhim Mindin - SP ,Entidade Parceira,24/5/2022,10/8/2022,120,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Ferramenteiro Construção Moldes p/Plástico ,SENAI Roberto Simonsem - SP ,Entidade Parceira,17/5/2022,30/8/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Auto cad 2d ,SENAI Roberto Simonsem - SP ,Entidade Parceira,28/5/2022,2/7/2022,48,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Soldador ao Arco Elétrico-Tig ,SENAI Felix Guisard - Taubaté SP ,Entidade Parceira,18/6/2022,12/11/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,REFRIGERAÇÃO E CLIMATIZAÇÃO ,SENAI Ipiranga - SP ,Entidade Parceira,20/6/2022,12/8/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,ELETRICISTA INSTALADOR RESIDENCIAL ,SENAI Felix Guisard - Taubaté SP ,Entidade Parceira,2/7/2022,11/11/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Eletricista Instalador Residencial ,SENAI Jundiaí SP ,Entidade Parceira,6/7/2022,14/9/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Curso de Comandos Eletricos ,SENAI Roberto Simonsem - SP ,Entidade Parceira,16/7/2022,17/11/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Informática básica ,SENAI Diadema SP ,Entidade Parceira,30/7/2022,24/9/2022,60,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,construtor de alvenaria ,SENAI Tatuapé SP ,Entidade Parceira,6/8/2022,17/12/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Excel Completo ,SENAI Jandira SP ,Entidade Parceira,25/7/2022,9/9/2022,80,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Manutenção de Pontas Odontológicas ,SENAI Vila Leopoldina ,Entidade Parceira,5/8/2022,12/8/2022,16,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Pintor de Automotivo ,SENAI Ipiranga - SP ,Entidade Parceira,23/8/2022,11/11/2022,180,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Eletricista instalador residencial ,senai Conde Alexandre Siciliano ,Entidade Parceira,24/8/2022,3/11/2022,160,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Energia Solar Fotovoltaica Tecnologia Aplicaç ,SENAI Tatuapé SP ,Entidade Parceira,27/8/2022,10/9/2022,24,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Auxiliar de recursos humanos ,SENAI Jandira SP ,Entidade Parceira,12/9/2022,6/12/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Soldador de Arco Elétrico e Oxigás ,SENAI Jundiaí SP ,Entidade Parceira,13/9/2022,13/12/2022,168,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,1-Redes de Computadores Implantação ,SENAI Roberto Simonsem - SP ,Entidade Parceira,17/9/2022,12/11/2022,48,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,2-Programação e impressão 3D ,SENAI Roberto Simonsem - SP ,Entidade Parceira,17/9/2022,8/10/2022,24,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Funileiro Automotivo ,SENAI Ipiranga - SP ,Entidade Parceira,2/8/2022,25/10/2022,160,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,Excel Pleno ,SENAI Roberto Simonsem - SP ,Entidade Parceira,24/9/2022,17/12/2022,80,2,2,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,3-Segurança nas Atv com trabalho em altura ,SENAI Roberto Simonsem - SP ,Entidade Parceira,13/8/2022,22/8/2022,24,1,1,0,0
CMSE ,SP ,São Paulo ,Cmdo CMSE ,5-Programação e impressão 3D ,SENAI Roberto Simonsem - SP ,Entidade Parceira,17/9/2022,8/10/2022,24,1,1,0,0
